===============================================================================
Id,EUR_USD,len,datetime,open,high,low,close,volume,openinterest,GBP_USD,len,datetime,open,high,low,close,volume,openinterest,St,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,EUR_USD,GBP_USD
1,EUR_USD,1,2019-01-01 22:00:00,1.13447,1.1497,1.14649,1.1325,,-1.0,GBP_USD,1,2019-01-01 22:00:00,1.26108,1.27739,1.27583,1.25812,,-1.0,St,1,737060.9166666666,Broker,1,100.0,100.0,BuySell,1,,,BuySell,1,,,DataTrades,1,,
2,EUR_USD,2,2019-01-02 22:00:00,1.13942,1.14112,1.13431,1.13091,,-1.0,GBP_USD,2,2019-01-02 22:00:00,1.26346,1.26476,1.26037,1.24555,,-1.0,St,2,737061.9166666666,Broker,2,100.0,100.0,BuySell,2,,,BuySell,2,,,DataTrades,2,,
3,EUR_USD,3,2019-01-03 22:00:00,1.13951,1.1419,1.1393,1.13458,,-1.0,GBP_USD,3,2019-01-03 22:00:00,1.27228,1.27447,1.26312,1.26158,,-1.0,St,3,737062.9166666666,Broker,3,100.0,100.0,BuySell,3,,,BuySell,3,,,DataTrades,3,,
4,EUR_USD,4,2019-01-06 22:00:00,1.14748,1.14827,1.13974,1.13972,,-1.0,GBP_USD,4,2019-01-06 22:00:00,1.27765,1.27868,1.27296,1.27138,,-1.0,St,4,737065.9166666666,Broker,4,100.0,100.0,BuySell,4,,,BuySell,4,,,DataTrades,4,,
5,EUR_USD,5,2019-01-07 22:00:00,1.14417,1.14848,1.14773,1.14219,,-1.0,GBP_USD,5,2019-01-07 22:00:00,1.27142,1.2798,1.27832,1.27066,,-1.0,St,5,737066.9166666666,Broker,5,100.0,100.0,BuySell,5,,,BuySell,5,,,DataTrades,5,,
6,EUR_USD,6,2019-01-08 22:00:00,1.15426,1.15584,1.14417,1.14364,,-1.0,GBP_USD,6,2019-01-08 22:00:00,1.27908,1.28042,1.27212,1.27108,,-1.0,St,6,737067.9166666666,Broker,6,100.0,100.0,BuySell,6,,,BuySell,6,,,DataTrades,6,,
7,EUR_USD,7,2019-01-09 22:00:00,1.15002,1.15702,1.1542,1.14846,,-1.0,GBP_USD,7,2019-01-09 22:00:00,1.27521,1.2802,1.27908,1.27283,,-1.0,St,7,737068.9166666666,Broker,7,100.0,100.0,BuySell,7,,,BuySell,7,,,DataTrades,7,,
8,EUR_USD,8,2019-01-10 22:00:00,1.14687,1.15406,1.14996,1.14582,,-1.0,GBP_USD,8,2019-01-10 22:00:00,1.28428,1.28664,1.27469,1.27096,,-1.0,St,8,737069.9166666666,Broker,8,100.0,100.0,BuySell,8,,,BuySell,8,,,DataTrades,8,,
9,EUR_USD,9,2019-01-13 22:00:00,1.14684,1.1482,1.14609,1.14508,,-1.0,GBP_USD,9,2019-01-13 22:00:00,1.2868,1.29316,1.28562,1.28188,,-1.0,St,9,737072.9166666666,Broker,9,100.0,100.0,BuySell,9,,,BuySell,9,,,DataTrades,9,,
10,EUR_USD,10,2019-01-14 22:00:00,1.1413,1.14898,1.14684,1.13822,,-1.0,GBP_USD,10,2019-01-14 22:00:00,1.28622,1.29162,1.28638,1.2668,,-1.0,St,10,737073.9166666666,Broker,10,100.0,100.0,BuySell,10,,,BuySell,10,,,DataTrades,10,,
11,EUR_USD,11,2019-01-15 22:00:00,1.13914,1.14248,1.14114,1.13779,,-1.0,GBP_USD,11,2019-01-15 22:00:00,1.28783,1.28978,1.28578,1.28248,,-1.0,St,11,737074.9166666666,Broker,11,100.0,100.0,BuySell,11,,,BuySell,11,,,DataTrades,11,,
12,EUR_USD,12,2019-01-16 22:00:00,1.13892,1.1406,1.1394,1.13702,,-1.0,GBP_USD,12,2019-01-16 22:00:00,1.29845,1.3001,1.28862,1.28322,,-1.0,St,12,737075.9166666666,Broker,12,100.0,100.0,BuySell,12,,,BuySell,12,,,DataTrades,12,,
13,EUR_USD,13,2019-01-17 22:00:00,1.1362,1.14104,1.13884,1.13532,,-1.0,GBP_USD,13,2019-01-17 22:00:00,1.2871,1.29946,1.29872,1.28569,,-1.0,St,13,737076.9166666666,Broker,13,100.0,100.0,BuySell,13,,,BuySell,13,,,DataTrades,13,,
14,EUR_USD,14,2019-01-20 22:00:00,1.13658,1.13914,1.13616,1.13569,,-1.0,GBP_USD,14,2019-01-20 22:00:00,1.28939,1.29114,1.28744,1.28308,,-1.0,St,14,737079.9166666666,Broker,14,100.0,100.0,BuySell,14,,,BuySell,14,,,DataTrades,14,,
15,EUR_USD,15,2019-01-21 22:00:00,1.13596,1.13738,1.13672,1.1336,,-1.0,GBP_USD,15,2019-01-21 22:00:00,1.29545,1.29756,1.2891,1.28552,,-1.0,St,15,737080.9166666666,Broker,15,100.0,100.0,BuySell,15,,,BuySell,15,,,DataTrades,15,,
16,EUR_USD,16,2019-01-22 22:00:00,1.13807,1.13946,1.13606,1.13508,,-1.0,GBP_USD,16,2019-01-22 22:00:00,1.30699,1.30807,1.29523,1.2942,,-1.0,St,16,737081.9166666666,Broker,16,100.0,100.0,BuySell,16,,,BuySell,16,,,DataTrades,16,,
17,EUR_USD,17,2019-01-23 22:00:00,1.1305,1.13915,1.13811,1.12894,,-1.0,GBP_USD,17,2019-01-23 22:00:00,1.30627,1.30948,1.30673,1.30119,,-1.0,St,17,737082.9166666666,Broker,17,100.0,100.0,BuySell,17,,,BuySell,17,,,DataTrades,17,,
18,EUR_USD,18,2019-01-24 22:00:00,1.14057,1.14176,1.13034,1.13004,,-1.0,GBP_USD,18,2019-01-24 22:00:00,1.31956,1.32179,1.30665,1.30566,,-1.0,St,18,737083.9166666666,Broker,18,100.0,100.0,BuySell,18,,,BuySell,18,,,DataTrades,18,,
