,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
62254,1749249,6833,1018GS2026-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
62255,1745665,6819,1025GS2021-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
62256,1744385,6814,116GS2020-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
62257,5009665,19569,182D031220-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62258,5710337,22306,182D040221-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62259,5745665,22444,182D040321-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62260,5076993,19832,182D061120-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62261,5116929,19988,182D070121-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62262,5032961,19660,182D081020-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62263,5077761,19835,182D101220-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62264,5716225,22329,182D110221-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62265,1281,5,182D110321-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62266,5119233,19997,182D121120-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62267,5122817,20011,182D140121-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62268,5080321,19845,182D151020-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62269,5078785,19839,182D171220-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62270,5730049,22383,182D180221-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62271,25857,101,182D180321-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62272,5120001,20000,182D191120-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62273,5123585,20014,182D210121-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62274,5116161,19985,182D221020-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62275,5115137,19981,182D241220-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62276,5734657,22401,182D250221-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62277,5081089,19848,182D261120-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62278,5698561,22260,182D280121-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62279,5115649,19983,182D290920-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62280,5066241,19790,182D291020-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62281,5120769,20003,182D311220-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62282,4331777,16921,20MICRONS,20 MICRONS,0.0,,0.0,0.05,1,EQ,NSE,NSE
62283,1025,4,21STCENMGM,21ST CENTURY MGMT SERVICE,0.0,,0.0,0.05,1,EQ,NSE,NSE
62284,5121025,20004,364D010721-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62285,4973825,19429,364D011020-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62286,5745921,22445,364D020921-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62287,5009921,19570,364D030621-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62288,5122305,20009,364D031220-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62289,5037569,19678,364D040221-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62290,5080065,19844,364D040321-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62291,5710593,22307,364D050821-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62292,5009153,19567,364D051120-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62293,5033473,19662,364D070121-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62294,5077249,19833,364D070521-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62295,5033217,19661,364D080421-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62296,5117185,19989,364D080721-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62297,5045505,19709,364D081020-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62298,1537,6,364D090921-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62299,5078017,19836,364D100621-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62300,5079553,19842,364D101220-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62301,5121537,20006,364D110221-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62302,5122049,20008,364D110321-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62303,5716481,22330,364D120821-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62304,5046273,19712,364D121120-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62305,5119489,19998,364D130521-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
62306,5013505,19584,364D140121-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
