date,open,high,low,close,volume
2015-12-31,652.85,654.9,648.0,649.5,43870064
2016-01-01,651.0,658.0,649.0,654.7,19142272
2016-01-04,654.7,654.7,638.4,645.55,45163394
2016-01-05,646.05,649.95,638.25,641.15,41002318
2016-01-06,641.0,657.6,638.0,652.4,47868915
2016-01-07,650.0,650.0,630.4,639.15,47158507
2016-01-08,637.8,645.0,614.35,622.45,101334575
2016-01-11,620.0,620.0,604.55,610.25,63931159
2016-01-12,609.8,618.0,605.75,611.65,41126104
2016-01-13,614.9,616.0,597.0,608.7,57034537
2016-01-14,605.0,616.0,597.05,613.9,51774553
2016-01-15,614.0,616.8,602.2,607.4,41581687
2016-01-18,607.0,607.0,586.1,590.85,51422858
2016-01-19,592.0,600.3,583.5,597.1,66670418
2016-01-20,595.0,598.4,589.1,593.5,41369119
2016-01-21,595.6,600.0,577.0,581.65,51022959
2016-01-22,580.05,588.3,576.9,583.35,47896691
2016-01-25,586.0,589.75,580.0,581.5,198370405
2016-01-27,580.55,587.3,574.0,580.5,33439730
2016-01-28,582.7,585.1,575.85,578.0,22726981
2016-01-29,579.95,590.0,578.0,585.7,38282323
2016-02-01,589.95,605.7,589.8,597.8,49202401
2016-02-02,600.0,606.35,562.8,574.0,229297105
2016-02-03,571.0,578.9,559.5,561.35,69569249
2016-02-04,563.9,572.3,540.55,550.25,84689930
2016-02-05,555.0,574.6,544.9,569.95,59177489
2016-02-08,572.0,575.75,561.25,567.0,70935320
2016-02-09,561.2,570.55,551.4,556.5,80127283
2016-02-10,553.0,559.2,535.0,538.85,147320396
2016-02-11,533.0,548.5,518.0,541.0,228844180
2016-02-12,540.1,542.2,525.0,528.6,121036569
2016-02-15,535.0,541.75,528.5,540.2,286365568
2016-02-16,549.0,550.0,520.6,524.05,211146780
2016-02-17,524.1,525.25,513.8,519.7,160585840
2016-02-18,524.55,529.45,520.55,525.35,55581107
2016-02-19,528.0,530.0,519.6,523.05,55843752
2016-02-22,534.8,534.8,525.0,530.5,31394306
2016-02-23,532.0,532.5,517.8,522.6,52628351
2016-02-24,523.0,523.0,510.6,513.8,44588409
2016-02-25,515.0,520.75,510.5,518.25,29979503
2016-02-26,517.0,527.3,517.0,523.75,34662189
2016-02-29,527.0,528.75,505.55,515.0,92631535
2016-03-01,515.0,521.25,509.25,517.5,61061464
2016-03-02,524.0,531.85,520.0,525.15,390673232
2016-03-03,530.0,531.0,524.5,528.2,60483924
2016-03-04,531.65,545.0,530.1,539.1,163810904
2016-03-08,540.0,549.5,529.0,531.5,73806366
2016-03-09,532.0,534.65,522.0,529.95,63180702
2016-03-10,539.0,539.9,530.2,534.45,79030641
2016-03-11,533.15,538.8,531.25,534.7,108259164
2016-03-14,541.5,543.5,534.0,538.05,57318822
2016-03-15,535.0,538.0,521.6,524.7,66593374
2016-03-16,524.5,534.75,516.8,532.65,363045694
2016-03-17,536.0,536.5,522.0,524.45,143503118
2016-03-18,530.0,530.6,518.0,528.35,179610613
2016-03-21,532.0,538.9,528.0,535.95,56703279
2016-03-22,539.0,539.0,531.6,536.5,41451487
2016-03-23,534.45,535.2,526.0,532.5,308688063
2016-03-28,536.0,536.75,523.0,524.45,54416615
2016-03-29,520.0,524.95,495.2,504.35,175916581
2016-03-30,510.0,516.8,502.75,512.1,87750562
2016-03-31,514.5,518.85,508.2,512.2,71958496
2016-04-01,514.0,517.25,510.7,513.45,69013091
2016-04-04,519.0,519.0,512.3,513.9,43916291
2016-04-05,513.9,515.95,501.9,504.0,43552083
2016-04-06,505.0,507.0,497.5,506.0,60112001
2016-04-07,507.0,513.05,501.7,507.6,83472234
2016-04-08,505.0,510.9,504.2,505.55,39907654
