date,close,high,low,n,open,t,volume,vw,symbol,instrument_type
1/4/2010,7.6432,7.6607,7.585,92456,7.6225,1.26E+12,493719800,7.6312,AAPL,Equity
1/5/2010,7.6564,7.6996,7.6161,103010,7.6643,1.26E+12,601901216,7.6656,AAPL,Equity
1/6/2010,7.5346,7.6868,7.5268,106579,7.6564,1.26E+12,552158376,7.6068,AAPL,Equity
1/7/2010,7.5207,7.5714,7.4661,90809,7.5625,1.26E+12,477129296,7.5124,AAPL,Equity
1/8/2010,7.5707,7.5714,7.4664,81435,7.5107,1.26E+12,447872124,7.5324,AAPL,Equity
1/11/2010,7.5039,7.6071,7.4446,89808,7.6,1.26E+12,462229460,7.5043,AAPL,Equity
1/12/2010,7.4186,7.4918,7.3721,111919,7.4711,1.26E+12,594459096,7.4315,AAPL,Equity
1/13/2010,7.5232,7.5332,7.2893,115900,7.4239,1.26E+12,604688140,7.4231,AAPL,Equity
1/14/2010,7.4796,7.5164,7.465,80495,7.5039,1.26E+12,431115244,7.4887,AAPL,Equity
1/15/2010,7.3546,7.5571,7.3525,109383,7.5332,1.26E+12,594311872,7.4328,AAPL,Equity
1/19/2010,7.68,7.6854,7.4014,120957,7.4404,1.26E+12,730003680,7.6038,AAPL,Equity
1/20/2010,7.5616,7.6982,7.4821,123097,7.6754,1.26E+12,612151568,7.5513,AAPL,Equity
1/21/2010,7.4311,7.6184,7.4004,112031,7.5743,1.26E+12,608092660,7.4685,AAPL,Equity
1/22/2010,7.0625,7.4107,7.0414,166841,7.385,1.26E+12,881754216,7.2225,AAPL,Equity
1/25/2010,7.2527,7.3107,7.1496,206845,7.2325,1.26E+12,1065549884,7.2471,AAPL,Equity
1/26/2010,7.355,7.6325,7.235,321550,7.3554,1.26E+12,1867070744,7.4414,AAPL,Equity
1/27/2010,7.4244,7.5207,7.1261,317934,7.3875,1.26E+12,1722526120,7.3404,AAPL,Equity
1/28/2010,7.1175,7.3393,7.0964,223103,7.3189,1.26E+12,1173464264,7.1668,AAPL,Equity
1/29/2010,6.8594,7.2214,6.7946,235045,7.1814,1.26E+12,1245928740,6.9714,AAPL,Equity
2/1/2010,6.9546,7,6.8321,141354,6.8704,1.27E+12,749831908,6.9207,AAPL,Equity
2/2/2010,6.995,7.0114,6.9064,113137,6.9968,1.27E+12,698338452,6.9658,AAPL,Equity
2/3/2010,7.1154,7.15,6.9436,115886,6.9704,1.27E+12,615327076,7.0903,AAPL,Equity
2/4/2010,6.8589,7.0846,6.8418,150335,7.0261,1.27E+12,757583848,6.9332,AAPL,Equity
2/5/2010,6.9807,7,6.8161,167025,6.8795,1.27E+12,850240440,6.909,AAPL,Equity
2/8/2010,6.9329,7.0671,6.9286,89462,6.9889,1.27E+12,478187276,7.0037,AAPL,Equity
2/9/2010,7.0068,7.0536,6.9554,107291,7.015,1.27E+12,632760268,7.0126,AAPL,Equity
2/10/2010,6.9684,7.0214,6.9379,72681,6.9961,1.27E+12,370015940,6.9789,AAPL,Equity
2/11/2010,7.0954,7.1339,6.9307,110744,6.96,1.27E+12,550057732,7.0559,AAPL,Equity
